year,Location,Crop,precipitation (mm),Temperature (°C),Irrigation water usage (m³),Water availability (m³),Crop yield (metric tons/hectare),Irrigation efficiency (%),Irrigation method,Soil moisture (%),water salinity (ppm),Greenhouse gas emissions (metric tons)
1994,Kenya,Vegetables,825.8,21.12,6965.82,97541.28,1.53,0.58,Drip irrigation,0.13,617.58,81.05
1994,Rwanda,Groundnuts,1491.32,29.71,5356.79,22921.92,1.86,0.66,Center pivot irrigation,0.25,200.37,40.94
2023,Uganda,Vegetables,1097.39,21.54,9379.09,42803.91,6.64,0.51,Sprinkler irrigation,0.36,322.09,64.42
2017,Uganda,Vegetables,909.89,26.03,4928.85,25320.64,2.31,0.85,Drip irrigation,0.34,657.18,15.11
2023,South Sudan,Sorghum,1024.53,15.96,3514.25,33745.79,3.06,0.59,Sprinkler irrigation,0.24,860.44,56.11
2006,Rwanda,Millet,796.44,18.23,9358.99,89322.56,7.85,0.62,Sprinkler irrigation,0.37,356.58,78.94
2013,South Sudan,Sorghum,551.77,26.58,2396.46,78729.13,2.48,0.7,Center pivot irrigation,0.22,683.03,81.68
1999,Tanzania,Pigeon peas,1665.12,19.84,1292.92,25587.85,5.83,0.64,Center pivot irrigation,0.46,566.45,98.92
2010,Tanzania,Pigeon peas,1923.41,20.31,7685.31,26605.4,5.46,0.82,Center pivot irrigation,0.43,105.99,92.42
2004,Rwanda,Sweet potatoes,1104.67,25.43,6777.77,92983.84,2.73,0.88,Center pivot irrigation,0.44,185,35.95
2009,South Sudan,Soybeans,1551.68,28.02,6519.14,35199.16,4.97,0.63,Center pivot irrigation,0.16,728.1,45.84
1994,South Sudan,Vegetables,1135.06,17.99,5834.04,35549.27,9.45,0.65,Drip irrigation,0.35,882.85,46.7
2020,Kenya,Rice,738.48,19.47,3333.49,90196.82,4.87,0.64,Drip irrigation,0.13,201.9,22.66
2001,Kenya,Irish potatoes,1858.42,30.77,5366.44,26593.63,5.96,0.62,Flood irrigation,0.14,789.7,31.08
2007,Kenya,Fruits,1768.79,25.83,3585.78,60021.18,4.87,0.69,Drip irrigation,0.19,662.39,87.35
1994,Burundi,Cassava,1735.09,25.73,3338.86,35043.41,7.92,0.62,Flood irrigation,0.41,108.24,17.93
2000,Tanzania,Beans,1872.45,23.66,4547.49,72344.49,6.48,0.83,Flood irrigation,0.15,153.95,42.37
1993,Uganda,Groundnuts,751.91,31.58,2829.48,52642.44,4.48,0.86,Flood irrigation,0.47,908.47,45.83
1998,Kenya,Vegetables,784.9,17.42,9662.2,83964.35,8.82,0.53,Drip irrigation,0.25,550.22,16.7
2018,Uganda,Vegetables,639.32,22.83,2229.33,34842.34,4,0.85,Flood irrigation,0.27,663.52,30.78
1996,Tanzania,Vegetables,1524.37,24.37,6683.64,16255.67,5.93,0.57,Drip irrigation,0.17,345.81,82.45
2019,Rwanda,Cowpeas,1679.46,17.72,1216.53,71516.74,6.39,0.59,Center pivot irrigation,0.48,751.17,54.9
2007,Kenya,Vegetables,1721.77,20.06,6634.5,23864.94,1.78,0.62,Sprinkler irrigation,0.37,315.94,16.17
2003,Tanzania,Fruits,995.77,16.65,3416.78,51823.13,2.48,0.85,Flood irrigation,0.45,612.59,34.74
2012,Uganda,Millet,1419.94,21.34,2278.93,96222.8,6.47,0.79,Sprinkler irrigation,0.36,982.79,75.27
2020,Kenya,Rice,1221.37,25.46,5654.27,21962.77,7.89,0.7,Drip irrigation,0.18,902.44,36.82
2005,Rwanda,Cowpeas,1893.52,25.41,6250.69,79206.15,4.43,0.87,Flood irrigation,0.29,339.93,53.3
1995,Rwanda,Cowpeas,727.05,33.39,5283.33,98574.8,4.8,0.75,Drip irrigation,0.14,376.29,98.18
2022,South Sudan,Groundnuts,1346.63,23.01,6575.19,16727.54,6.76,0.74,Sprinkler irrigation,0.49,457.03,43.74
2005,South Sudan,Vegetables,1027.75,20.03,8431.68,10120.16,3.36,0.74,Center pivot irrigation,0.39,147.47,68.78
2022,South Sudan,Pigeon peas,1244.16,27.27,8899.37,63799.23,6.02,0.89,Sprinkler irrigation,0.42,413.66,79.24
2023,Burundi,Pigeon peas,1699.48,24.86,5616.9,65298.83,4.92,0.77,Drip irrigation,0.48,865.88,49.87
2012,Rwanda,Rice,1521.58,33.83,2119.89,93228.16,1.63,0.87,Sprinkler irrigation,0.29,858.73,58.88
2021,South Sudan,Cassava,1498.67,25.41,7240.8,24812.96,3.78,0.68,Drip irrigation,0.31,164.57,60.34
2013,Rwanda,Millet,1512.62,15.4,3852.28,93558.6,3.68,0.62,Center pivot irrigation,0.14,841.93,98.09
2010,Tanzania,Cassava,1949.48,32.94,2978.2,85608.47,3.42,0.53,Flood irrigation,0.14,788.49,36.59
1995,Rwanda,Vegetables,1264.69,33.42,4489.01,99002.09,7.57,0.67,Center pivot irrigation,0.28,470.92,70.43
2013,Burundi,Millet,1597.1,19.19,1843.6,94710.84,6.78,0.59,Flood irrigation,0.23,591.41,99.7
2010,Burundi,Cassava,1178.03,34.56,9711.02,25200.3,8.33,0.82,Sprinkler irrigation,0.37,885.9,78.67
2003,Tanzania,Rice,1805.59,20.58,3569.22,15817.58,7.4,0.5,Center pivot irrigation,0.43,274.79,26.91
2007,Rwanda,Irish potatoes,615.26,16.4,1718.13,51694.28,8.63,0.7,Sprinkler irrigation,0.23,965.55,94.64
2009,Kenya,Rice,1092.01,24.52,6790.59,58179.19,2.06,0.73,Flood irrigation,0.46,574.21,38
1995,Rwanda,Millet,1134.56,15.12,7004.62,57837.58,4.28,0.71,Center pivot irrigation,0.37,808.76,81.68
2000,Rwanda,Sweet potatoes,558.58,33.57,3649.11,17842.14,4.53,0.81,Sprinkler irrigation,0.12,937.07,36.36
2004,Uganda,Soybeans,1846.21,24.51,6069.32,57001.43,4.73,0.79,Drip irrigation,0.23,536.65,57.09
2007,Rwanda,Pigeon peas,856.76,17.37,5787.6,43087.04,5.48,0.5,Drip irrigation,0.29,241.52,66.07
1999,Rwanda,Cassava,1942.59,27.4,8802.76,48050.67,6.32,0.74,Drip irrigation,0.48,396.34,15.08
2005,Uganda,Cowpeas,1654.24,34.27,3243.04,16193.64,2.37,0.88,Sprinkler irrigation,0.32,157.45,88.97
2018,Kenya,Fruits,1575.55,27.81,7490.66,92561.74,1.35,0.71,Drip irrigation,0.31,743.2,61.09
2015,Rwanda,Fruits,1892.47,25.16,3117.05,75234.36,3.16,0.56,Center pivot irrigation,0.2,872.21,71.71
2023,Kenya,Sunflower,1151.45,15.2,6107.37,31331.47,3.15,0.74,Center pivot irrigation,0.37,953.4,26.35
2011,Rwanda,Millet,1938.75,22.98,5061.44,85693.69,7.69,0.71,Drip irrigation,0.24,185.34,50.78
1998,Uganda,Sorghum,1071.84,29.36,8046.97,62913.79,5.15,0.55,Center pivot irrigation,0.13,588.88,67.51
2011,Burundi,Cassava,965.97,18.68,5615.88,30449.08,5.11,0.71,Flood irrigation,0.36,980.46,54.81
2001,Burundi,Vegetables,1082.34,31.37,7067.58,88479.91,4.39,0.69,Sprinkler irrigation,0.4,807.93,56.13
2015,South Sudan,Cassava,585.97,27.35,3456.55,83312.11,5.52,0.88,Center pivot irrigation,0.27,410.79,82.56
2017,Tanzania,Sunflower,1593.46,15.89,8723.73,95829.88,1.28,0.7,Drip irrigation,0.47,201.11,50.98
1999,Rwanda,Sunflower,523.02,21.27,4262.16,45743.04,9.61,0.67,Flood irrigation,0.43,908.64,94.75
2006,Burundi,Beans,1355.92,31.75,7540.51,75481.54,6.03,0.63,Drip irrigation,0.11,376.3,30.61
2002,South Sudan,Sweet potatoes,749.86,19.91,2914.55,76685.74,2.34,0.58,Center pivot irrigation,0.14,809.38,75.91
2011,Rwanda,Wheat,1197.26,29.27,4934.29,61740.27,2.78,0.7,Sprinkler irrigation,0.13,373.39,15.34
2021,Tanzania,Beans,1554.3,21.33,4890.18,25683.15,7.65,0.84,Sprinkler irrigation,0.36,857.35,20.42
2012,Uganda,Cassava,1020.62,29.54,4306.26,82865.83,2.29,0.78,Sprinkler irrigation,0.41,508.19,73.13
2010,South Sudan,Soybeans,1987.5,26.75,3551.62,16620.58,8.95,0.53,Sprinkler irrigation,0.36,448.08,70.91
2006,Burundi,Maize,1862.65,30.23,1912.43,62742.86,3.46,0.65,Flood irrigation,0.3,105.1,90.48
2000,Tanzania,Vegetables,1404.09,15.3,5050.68,36345.29,5.61,0.77,Drip irrigation,0.32,214.45,72.73
2020,Rwanda,Rice,1003.4,24.51,7646.44,84030.6,7.35,0.9,Center pivot irrigation,0.26,683.81,91.22
2004,Rwanda,Fruits,669.3,22.4,7516.67,20870.97,5.04,0.58,Sprinkler irrigation,0.32,909.44,67.07
1994,South Sudan,Sweet potatoes,763.13,26.06,5117.88,18552.55,1.4,0.75,Center pivot irrigation,0.14,187.56,18.08
2008,South Sudan,Rice,1884.4,34.64,4282.3,80223.02,1.55,0.72,Center pivot irrigation,0.36,574.11,64.95
1996,Burundi,Sunflower,1694.07,32.52,3641.09,39712.67,2.75,0.65,Flood irrigation,0.26,506.46,59.51
2016,Rwanda,Rice,1219.7,18.48,4998.65,85895.87,7.22,0.67,Sprinkler irrigation,0.4,895.99,68.15
1995,Uganda,Wheat,1052.63,28.3,4881.91,94739.32,9.37,0.89,Sprinkler irrigation,0.27,968.03,84.85
2005,Tanzania,Fruits,1877.18,31.18,3774.52,93704.49,5.01,0.59,Drip irrigation,0.44,709.51,43.81
2022,Tanzania,Fruits,754.92,17.49,7736.1,19607.7,5.89,0.71,Center pivot irrigation,0.15,791.56,11.94
1996,Tanzania,Maize,1202.34,28.46,1585.31,85892.33,5.21,0.56,Drip irrigation,0.32,374.49,40.23
1996,Uganda,Pigeon peas,1886.75,20.84,2846.77,37571.12,8.35,0.67,Center pivot irrigation,0.2,231.95,30.9
2023,Tanzania,Groundnuts,641.8,15.3,2918.29,58095.16,3.05,0.65,Flood irrigation,0.18,754.21,69.4
2007,Kenya,Irish potatoes,868.88,26.63,9330.69,88057.76,9.61,0.61,Sprinkler irrigation,0.34,400.69,81
1995,Kenya,Sunflower,1443.55,26.34,9782.24,31096.23,8.77,0.69,Center pivot irrigation,0.32,454.48,44.01
2019,Kenya,Sweet potatoes,669.33,17.63,5105.88,91899.8,6.62,0.58,Center pivot irrigation,0.26,951.21,16.43
2011,Rwanda,Millet,1266.4,22.14,5398.47,38068.12,5.18,0.69,Drip irrigation,0.19,927,20.94
2000,Burundi,Irish potatoes,1044.96,25.54,7534.62,85828.7,5,0.62,Flood irrigation,0.27,876.52,61.39
2023,Uganda,Maize,651.78,22.51,9872.3,54539.12,1.17,0.81,Drip irrigation,0.36,131.77,58.07
2017,Tanzania,Sorghum,1310.09,21.62,5570.34,68779.91,8.81,0.76,Sprinkler irrigation,0.44,193.15,95.6
2013,Rwanda,Cassava,721.42,18.36,6547.65,97715.13,5.13,0.63,Drip irrigation,0.31,859.72,87
2003,Tanzania,Millet,804.8,26.87,8541.98,98083.66,9.68,0.57,Sprinkler irrigation,0.16,261.08,49.98
2007,Tanzania,Cowpeas,1035.05,32.01,4809.45,31057.3,7.07,0.9,Drip irrigation,0.45,891.77,20.44
2022,Uganda,Beans,1938.16,16.29,2601.03,79926.5,9.38,0.82,Center pivot irrigation,0.12,685.26,39.72
2019,Rwanda,Wheat,1488.21,28.58,3489.36,71280.71,9.83,0.59,Center pivot irrigation,0.16,286.83,37.56
2006,South Sudan,Millet,697.11,19.72,7879.36,50896.78,3.98,0.78,Flood irrigation,0.42,187.69,76.94
2000,South Sudan,Millet,1617.66,22.6,4970.34,42575.02,3.74,0.55,Sprinkler irrigation,0.36,918.55,51.46
1993,Uganda,Cowpeas,1449.14,23.08,3900.33,94283.89,5.62,0.69,Flood irrigation,0.45,297.28,29.81
2018,Uganda,Cassava,1833.72,34.67,4381.72,28534.74,7.24,0.83,Sprinkler irrigation,0.25,120.48,71.59
1996,Rwanda,Soybeans,1161.52,22.94,4581.43,97593.77,7.74,0.55,Drip irrigation,0.37,604.73,69.89
2008,Burundi,Beans,1985.59,15.09,3143.07,75496.51,2.82,0.85,Drip irrigation,0.45,662.78,16.38
1994,Kenya,Sorghum,560.4,18.86,2435.14,59202.76,3.5,0.84,Flood irrigation,0.12,438.49,92.51
1993,Uganda,Maize,1028.7,26.11,6262.93,92633.71,4.7,0.88,Flood irrigation,0.23,541.97,39.02
2023,Rwanda,Millet,1947.99,25.93,1860.5,27906.24,7.18,0.54,Drip irrigation,0.15,903.14,10.1
1994,Tanzania,Maize,1722.62,19.7,9556.8,48373.67,3.2,0.74,Center pivot irrigation,0.25,123.04,92.24
1996,Tanzania,Sunflower,1680.29,23.81,6597.6,40500.06,6.25,0.55,Sprinkler irrigation,0.11,255.45,43.82
1995,Kenya,Pigeon peas,1209.41,15.4,5096.16,45715.32,2.76,0.56,Center pivot irrigation,0.14,786.13,49.22
2012,Tanzania,Fruits,1898.72,29.05,4693.36,74048.08,3.67,0.62,Flood irrigation,0.22,369.89,60.2
2004,Rwanda,Maize,979.99,29.19,4194.46,19130.9,8.25,0.61,Center pivot irrigation,0.25,109.9,18.16
2000,Tanzania,Wheat,1645.45,18.17,3934.31,66981.63,7.35,0.8,Drip irrigation,0.25,514.96,70.37
2011,Burundi,Cowpeas,1929.55,17.57,4997.8,61030.97,1.83,0.71,Sprinkler irrigation,0.49,585.54,94.25
2010,Uganda,Maize,1137.6,17.6,5321.17,22260.53,3.29,0.78,Sprinkler irrigation,0.14,601.85,97.2
2013,Tanzania,Irish potatoes,1071.68,19.66,7489.7,26691.73,7.81,0.57,Flood irrigation,0.25,774.71,49.84
2022,Uganda,Vegetables,717.03,21.12,4024.28,98232.66,5.05,0.65,Sprinkler irrigation,0.34,824.64,46.36
2021,Kenya,Maize,967.55,16.22,6856.09,20667.08,4.93,0.56,Center pivot irrigation,0.21,800.73,69.36
2017,Uganda,Pigeon peas,964.78,29.99,9847.42,24647.93,2.31,0.72,Flood irrigation,0.17,442.39,55.92
2009,Kenya,Groundnuts,1686.51,32.07,9623.05,33314.86,1.65,0.72,Center pivot irrigation,0.17,245.53,18.94
2020,South Sudan,Millet,509.04,28.51,2507.43,93433.83,7.56,0.89,Sprinkler irrigation,0.44,276.74,78.34
2013,Uganda,Maize,1082.33,21.76,5062.56,57702.7,3.43,0.61,Sprinkler irrigation,0.47,589.41,54.04
2017,Tanzania,Cassava,947.14,21.82,7623.15,30864.67,7.2,0.85,Sprinkler irrigation,0.18,308.67,87.76
2005,Burundi,Vegetables,714.79,22.48,6641.29,20084.66,5.48,0.56,Center pivot irrigation,0.33,791.98,41.01
2016,Burundi,Rice,1868.85,26.03,5332.5,12378.72,8.86,0.57,Drip irrigation,0.31,855.43,59.83
2018,South Sudan,Beans,992.56,34.57,8212.39,24775.45,6.82,0.74,Drip irrigation,0.37,943.95,20.97
1993,Uganda,Maize,1730.1,24.87,4846.41,46500.36,1.48,0.56,Flood irrigation,0.31,663.95,29.09
2008,Rwanda,Vegetables,1435.97,29.12,8558.42,24989.11,1.89,0.67,Center pivot irrigation,0.37,296.43,38.23
2007,Tanzania,Cowpeas,1647.02,34.61,7539.01,41236.68,1.57,0.82,Flood irrigation,0.4,897.1,10.02
2018,Tanzania,Soybeans,1917.42,15.48,6342.32,64878.47,7.99,0.7,Drip irrigation,0.24,461.73,43.24
1999,South Sudan,Wheat,1524.41,25.63,7891.45,95340.12,7.7,0.68,Sprinkler irrigation,0.49,264.59,47.64
2017,Uganda,Rice,1828.54,23.67,8017.74,98728.42,9.93,0.56,Sprinkler irrigation,0.43,594.77,69.32
2022,Uganda,Sweet potatoes,982.41,21.88,5680.53,98501.58,3.7,0.84,Drip irrigation,0.22,616.44,69.88
2005,Rwanda,Millet,1502.65,29.96,2994.19,15642.41,5.29,0.81,Sprinkler irrigation,0.4,542.27,25.7
2018,Rwanda,Sorghum,1643.13,18.23,8024.8,92960.76,5.2,0.81,Center pivot irrigation,0.36,862.41,85.76
1993,South Sudan,Cowpeas,896.39,29.4,6391.96,43531.51,7.55,0.81,Drip irrigation,0.27,900.76,74.3
2007,South Sudan,Soybeans,805.64,30.53,4628.05,93164.74,7.02,0.81,Center pivot irrigation,0.49,289.54,61.22
1993,Rwanda,Vegetables,1841.63,17.04,9743.1,75181.64,7.95,0.67,Sprinkler irrigation,0.2,126.41,47.8
2007,Burundi,Sorghum,1605.16,23.74,8006.05,59064.5,5.22,0.68,Sprinkler irrigation,0.28,257.06,70.99
1996,South Sudan,Pigeon peas,713.37,22.18,1252.85,21163.38,2.13,0.58,Drip irrigation,0.5,612.14,42.38
2009,Uganda,Millet,997.48,15.85,3095.92,51257.85,3.38,0.82,Flood irrigation,0.16,935.21,81.33
1999,Uganda,Rice,722.62,31.73,1316.12,74451.49,9.11,0.71,Center pivot irrigation,0.14,260.9,99.24
1997,Kenya,Beans,1855.37,32.63,5399.49,92408.27,4.95,0.52,Drip irrigation,0.5,594.92,24.66
2021,Tanzania,Maize,1979.01,16.32,2695.3,18914.18,9.58,0.57,Flood irrigation,0.17,740.27,23.6
2017,Burundi,Sunflower,647.91,27.7,5300,90903.17,2.63,0.61,Drip irrigation,0.25,391.2,72.05
2023,Burundi,Vegetables,892.49,16.11,2562.22,36134.79,8.52,0.53,Flood irrigation,0.1,660.56,75.39
2015,Kenya,Soybeans,1179.19,19,2849.47,10853.21,7,0.66,Sprinkler irrigation,0.4,654.48,26.15
2014,Uganda,Maize,1206.31,23.13,2870.92,47199.58,2.58,0.72,Center pivot irrigation,0.46,484.18,83.79
2000,Kenya,Vegetables,1376.51,26.35,7334.28,32549.74,8.05,0.82,Sprinkler irrigation,0.41,526.74,40.94
2017,Rwanda,Vegetables,948.41,17.65,3568.21,69202.11,5.35,0.61,Center pivot irrigation,0.49,569.64,57.01
2011,Burundi,Vegetables,1916.85,25.97,1734.38,51266.97,7.74,0.88,Flood irrigation,0.11,615.85,62.38
2000,Burundi,Cowpeas,1470.28,19.24,1508.3,26232.03,8.35,0.77,Drip irrigation,0.12,885.61,92.63
1997,Uganda,Groundnuts,1205.23,30.29,3907.58,93954.35,9.23,0.85,Center pivot irrigation,0.48,428.93,51.41
2015,Burundi,Maize,1416.52,34.48,1917.51,91926.94,6.03,0.88,Drip irrigation,0.3,631.04,79.44
1999,Rwanda,Millet,784.61,28.43,6326,83876.21,4.01,0.63,Flood irrigation,0.17,884.42,66.05
1994,Kenya,Groundnuts,986.55,24.3,4623.76,27208.5,8.33,0.89,Center pivot irrigation,0.48,527.95,86.6
2009,Rwanda,Soybeans,1599.35,31.47,7524.06,22290.27,5.14,0.88,Center pivot irrigation,0.13,401.45,81.98
2003,Uganda,Wheat,1726.48,29.55,1193.88,38249.64,6.43,0.57,Center pivot irrigation,0.34,977.4,63.07
2003,Tanzania,Rice,1665.29,33.36,2915.79,16744.32,4.12,0.8,Drip irrigation,0.38,685.52,25.72
2000,Rwanda,Cowpeas,1479.8,34.67,1825.13,84245.79,8.04,0.82,Drip irrigation,0.5,218.79,93.64
2020,Kenya,Soybeans,781.56,16.23,9314.68,69435.18,2.47,0.77,Center pivot irrigation,0.47,480.14,11.88
2006,Kenya,Soybeans,1689.55,15.76,4291.34,84888.13,9.41,0.72,Sprinkler irrigation,0.27,570.38,93.26
2018,Tanzania,Millet,1282.62,21.98,8356.59,39004.81,6.91,0.55,Flood irrigation,0.22,869.02,80.06
2009,Burundi,Cassava,1208.37,17.96,9593.1,30098.85,9.28,0.58,Sprinkler irrigation,0.44,676.33,15.2
2001,Tanzania,Sorghum,1399.58,23.35,9978.46,44030.18,8.61,0.53,Flood irrigation,0.41,924.2,49
2018,Uganda,Rice,1222.95,20.28,2820.42,97239.68,9.22,0.56,Flood irrigation,0.31,227.68,96.69
2003,Burundi,Millet,1891.7,27.95,9560.04,13100.71,9.31,0.67,Flood irrigation,0.42,640.24,91.04
2018,Tanzania,Millet,1923.37,34.46,1822.32,80894.3,6.9,0.84,Sprinkler irrigation,0.21,506.26,59.99
2012,Burundi,Wheat,1022.11,16.01,9186.96,95586.85,2.71,0.65,Sprinkler irrigation,0.29,377.04,63.79
1993,Burundi,Maize,1494.27,17.23,1558.17,43933.75,9.02,0.74,Flood irrigation,0.4,766.45,60.29
2019,Burundi,Cowpeas,858.42,21.22,2504.65,94851.08,1.87,0.65,Flood irrigation,0.42,467.2,30.57
2018,Tanzania,Millet,1876.32,33.65,6919.85,46695.16,7.97,0.66,Sprinkler irrigation,0.17,297.4,30.24
2003,Burundi,Groundnuts,854.93,22.34,6233.63,57903.06,7.33,0.67,Sprinkler irrigation,0.27,551.31,81.61
2002,Rwanda,Cowpeas,1499.37,23.17,7037.5,53969.48,8.04,0.58,Center pivot irrigation,0.12,874.46,42.18
2004,South Sudan,Millet,1814.86,23.83,3527.35,20879.74,2.91,0.85,Drip irrigation,0.45,793.5,80.9
1994,Tanzania,Maize,1493.88,27.29,5937.58,89339.22,9,0.88,Sprinkler irrigation,0.29,714.39,44.15
2002,Tanzania,Sorghum,1990.49,28.27,6492.08,36822.42,8.27,0.6,Drip irrigation,0.33,791.58,50.11
2004,Rwanda,Maize,1236.09,30.98,3544.35,67008.34,3.15,0.75,Drip irrigation,0.15,770.68,65.99
2018,Burundi,Millet,1313.77,25.06,1503.86,43216.87,8.24,0.6,Sprinkler irrigation,0.25,899.49,41.25
2016,Uganda,Pigeon peas,1770.24,24.13,1113.94,43879.81,2.28,0.76,Flood irrigation,0.38,306.87,29.51
2000,Rwanda,Sweet potatoes,1903.76,18.82,4403.46,92881.24,8.21,0.89,Center pivot irrigation,0.24,833.48,43.22
2000,South Sudan,Irish potatoes,617.61,32.15,8939.31,60206.09,9.45,0.68,Center pivot irrigation,0.16,280.24,51.72
2023,Tanzania,Millet,792.03,27.69,7415.8,19643.24,4.03,0.82,Center pivot irrigation,0.14,239.42,81.23
2014,South Sudan,Irish potatoes,1087.18,29.64,7080.75,28883.07,8.34,0.81,Drip irrigation,0.39,208.94,23.79
2008,Burundi,Soybeans,1489.98,19.89,5669.67,15170.97,3.32,0.51,Drip irrigation,0.35,257.23,97.89
2004,Rwanda,Millet,1247.61,23.84,3696.58,67554.03,6.35,0.76,Flood irrigation,0.35,660.89,23.2
2012,Tanzania,Fruits,705.02,15.53,5433.3,30339.86,6.56,0.8,Sprinkler irrigation,0.34,563.99,19.3
2020,Kenya,Irish potatoes,701.19,21.62,1129.85,89185.25,9.17,0.52,Sprinkler irrigation,0.15,332.67,97.33
2002,Burundi,Pigeon peas,1553.91,15.2,2025.85,87229.62,5.66,0.6,Drip irrigation,0.24,893.25,71.21
2003,Kenya,Sweet potatoes,1497.01,15.58,3409.46,56792.09,5.04,0.88,Center pivot irrigation,0.34,601.81,65.05
2009,Burundi,Wheat,1393.71,24.87,3150.3,10372.37,4.62,0.74,Sprinkler irrigation,0.11,445.43,32.5
2005,Burundi,Wheat,1375.2,17.49,4250.66,91285.05,2.86,0.74,Drip irrigation,0.12,613.18,48.07
2020,Burundi,Maize,1028.75,34.51,5985.7,17715.25,5.53,0.54,Sprinkler irrigation,0.15,484.61,73.9
2007,South Sudan,Vegetables,743.28,31.11,6628.12,67781.09,6.36,0.74,Flood irrigation,0.1,247.7,29.64
2006,Rwanda,Soybeans,609.34,31.17,4872.12,51262.2,5.59,0.88,Flood irrigation,0.25,216.01,84.18
1997,Kenya,Rice,1605.9,18.55,4697.79,65980.07,1.46,0.76,Center pivot irrigation,0.48,905.16,47.48
2009,Burundi,Groundnuts,819.41,32.27,9615.16,71419.55,4.83,0.65,Flood irrigation,0.24,723.99,54.87
2007,Kenya,Beans,1853.4,21.52,3132.8,32142.24,7.21,0.89,Flood irrigation,0.44,201.14,68.29
1998,Kenya,Cassava,1638.26,31.77,2138.88,51200.69,9.52,0.51,Center pivot irrigation,0.47,231.31,61.64
1993,Uganda,Millet,1269.02,20.03,9281.98,66227.68,5.7,0.83,Sprinkler irrigation,0.21,444.73,52.93
2003,Tanzania,Pigeon peas,1140.65,28.33,9403.75,21872.41,7.39,0.63,Drip irrigation,0.44,384.77,84.9
2023,Rwanda,Sweet potatoes,1912.78,32.38,4480.86,99731.34,4.2,0.61,Drip irrigation,0.39,128.11,40.57
2019,Burundi,Sunflower,1109.63,31.44,1024.11,91282.93,9.54,0.89,Drip irrigation,0.45,889.67,96.62
1998,Tanzania,Wheat,1631.51,27.94,2379.43,33322.04,7.64,0.75,Flood irrigation,0.11,437.95,28.64
2004,Tanzania,Beans,1564.14,20.22,7359.24,32433.36,8.95,0.87,Flood irrigation,0.31,903.23,28.43
2011,Tanzania,Cowpeas,699.84,32.46,3124.9,55567.16,2.33,0.85,Flood irrigation,0.38,759.5,53.52
2005,Uganda,Soybeans,809.2,26.71,4158.31,51506.14,1.17,0.76,Flood irrigation,0.22,675.52,99.19
1994,Uganda,Sweet potatoes,1611.11,34.04,2824.69,57022.78,5.19,0.83,Center pivot irrigation,0.27,596.7,58.7
2000,South Sudan,Groundnuts,1269.71,27.45,1319.76,18036.02,4.09,0.66,Sprinkler irrigation,0.35,698.41,71.72
2017,Burundi,Sunflower,808.02,22.81,3137.91,18328.01,6.25,0.85,Drip irrigation,0.11,260.21,72.14
2011,Rwanda,Sweet potatoes,1145.66,19.12,3753.55,53203.49,1.67,0.72,Center pivot irrigation,0.13,160.94,26.87
1998,Rwanda,Groundnuts,1447.24,21.63,9340.21,38950.83,9.1,0.86,Flood irrigation,0.44,558.63,37.49
2018,Burundi,Sorghum,1059.73,26.25,6493.64,89690.02,4.4,0.64,Drip irrigation,0.45,373.56,51.93
1993,Burundi,Cassava,1708.45,21.48,3499.72,84478.66,1.3,0.8,Drip irrigation,0.2,303.26,13.29
1994,Rwanda,Sweet potatoes,1871.44,31.57,6721.76,53036.94,6.55,0.58,Sprinkler irrigation,0.38,420.62,94.8
1997,Burundi,Millet,1593.72,31.2,8844.98,60314.7,7.67,0.62,Flood irrigation,0.19,295.06,81.51
1998,Burundi,Cowpeas,581.4,16.05,2798.67,81962.37,4.08,0.64,Sprinkler irrigation,0.41,104.82,21.27
2021,Rwanda,Soybeans,613.5,32.38,9999.42,20765.85,7.77,0.69,Drip irrigation,0.32,707.8,59.6
2015,South Sudan,Maize,1030.16,27.79,2071.65,22651.61,9.26,0.83,Flood irrigation,0.34,230.42,22.46
1998,Rwanda,Beans,1457.63,31.09,9151.19,69280.42,6.13,0.57,Center pivot irrigation,0.4,954.03,25.98
2018,Burundi,Irish potatoes,530.84,27.02,9933.55,60686.46,8.26,0.84,Flood irrigation,0.26,438.57,17.56
2002,Rwanda,Fruits,686.44,28.23,5495.66,48241.53,5.73,0.78,Flood irrigation,0.2,335.38,61.25
2022,South Sudan,Millet,964.15,23.98,2197.12,78824.39,8.76,0.51,Drip irrigation,0.23,979.84,28.47
2000,Tanzania,Millet,831.56,22.08,5472.81,13748.14,8.66,0.84,Drip irrigation,0.25,425.52,39.31
2007,South Sudan,Vegetables,1793.45,30.17,5607.66,17006.57,9.73,0.7,Center pivot irrigation,0.35,625.1,74.42
1999,Rwanda,Sunflower,1408.98,29.19,6996.06,85019.49,7.8,0.82,Flood irrigation,0.13,305.13,47.8
2009,Burundi,Sorghum,1539.46,28.18,7651.13,29651.47,7.77,0.51,Sprinkler irrigation,0.22,117.64,95.95
2016,Tanzania,Cassava,1828.12,22.82,9739.05,48721.73,1.37,0.59,Sprinkler irrigation,0.19,143.8,77.17
2020,Kenya,Rice,772.36,15.06,8014,39026.36,5.67,0.77,Center pivot irrigation,0.24,256.53,52.42
2005,Uganda,Groundnuts,1974.32,29.12,4888.13,48808.66,3.49,0.53,Center pivot irrigation,0.2,162.14,19.18
2010,Uganda,Soybeans,1499.66,28.1,7409.74,37095.76,3.09,0.51,Center pivot irrigation,0.36,729.18,31.61
